date,Face_Masks_Required_in_Public
2/15/2021,Yes
2/16/2021,Yes
2/17/2021,Yes
2/18/2021,Yes
2/19/2021,Yes
2/20/2021,Yes
2/21/2021,Yes
2/22/2021,Yes
2/23/2021,Yes
2/24/2021,Yes
2/25/2021,Yes
2/26/2021,Yes
2/27/2021,Yes
2/28/2021,Yes
3/1/2021,Yes
3/2/2021,Yes
3/3/2021,Yes
3/4/2021,Yes
3/5/2021,Yes
3/6/2021,Yes
3/7/2021,Yes
3/8/2021,Yes
3/9/2021,Yes
3/10/2021,Yes
3/11/2021,Yes
3/12/2021,Yes
3/13/2021,Yes
3/14/2021,Yes
3/15/2021,Yes
3/16/2021,Yes
3/17/2021,Yes
3/18/2021,Yes
3/19/2021,Yes
3/20/2021,Yes
3/21/2021,Yes
3/22/2021,Yes
3/23/2021,Yes
3/24/2021,Yes
3/25/2021,Yes
3/26/2021,Yes
3/27/2021,Yes
3/28/2021,Yes
3/29/2021,Yes
3/30/2021,Yes
3/31/2021,Yes
4/1/2021,Yes
4/2/2021,Yes
4/3/2021,Yes
4/4/2021,Yes
4/5/2021,Yes
4/6/2021,Yes
4/7/2021,Yes
4/8/2021,Yes
4/9/2021,Yes
4/10/2021,Yes
4/11/2021,Yes
4/12/2021,Yes
4/13/2021,Yes
4/14/2021,Yes
4/15/2021,Yes
4/16/2021,Yes
4/17/2021,Yes
4/18/2021,Yes
4/19/2021,Yes
4/20/2021,Yes
4/21/2021,Yes
4/22/2021,Yes
4/23/2021,Yes
4/24/2021,Yes
4/25/2021,Yes
4/26/2021,Yes
4/27/2021,Yes
4/28/2021,Yes
4/29/2021,Yes
4/30/2021,Yes
5/1/2021,Yes
5/2/2021,Yes
5/3/2021,Yes
5/4/2021,Yes
5/5/2021,Yes
5/6/2021,Yes
5/7/2021,Yes
5/8/2021,Yes
5/9/2021,Yes
5/10/2021,Yes
5/11/2021,Yes
5/12/2021,Yes
5/13/2021,Yes
5/14/2021,Yes
5/15/2021,Yes
5/16/2021,Yes
5/17/2021,Yes
5/18/2021,Yes
5/19/2021,Yes
